ID,Year,Risk,LCS,Net Profit,Total Assets,Total Liabilites,Age,Sales,BookV,MarketV
TSPC,2016,0.01212,3,545493536262.00,6585807349438.00,1950534206746.00,1970,9138238993842.00,4635273142692.00,8865000000000.00
ADES,2016,0.01132,2,55951000000.00,767479000000.00,383091000000.00,1985,887663000000.00,384388000000.00,589896800000.00
MBTO,2016,0.01787,2,8813611079.00,709959168099.00,269032270377.00,1977,685443920925.00,440926897711.00,197950000000.00
MRAT,2016,0.01314,1,-5549465678.00,483037173864.00,113947973889.00,1978,344361345265.00,369089199975.00,89880000000.00
TCID,2016,0.10290,3,162059596347.00,2185101038101.00,401942530776.00,1969,2526776164168.00,1783158507325.00,2513333337500.00
UNVR,2016,0.01522,3,6390672000000.00,16745695000000.00,12041437000000.00,1933,40053732000000.00,4704258000000.00,296044000000000.00
KICI,2016,0.07451,1,362936663.00,139809135385.00,50799380910.00,1974,99382027031.00,89009754475.00,33120000000.00
LMPI,2016,0.00323,3,6933035457.00,810364824722.00,402192705158.00,1972,411945398299.00,408172119564.00,136149885315.00
INTP,2015,0.01634,3,4356661000000.00,27638360000000.00,3772410000000.00,1985,17798055000000.00,23865950000000.00,82183497680175.00
SMBR,2015,0.00340,3,354180062000.00,3268667933000.00,319315349000.00,1974,1461248284000.00,2949352584000.00,2862764443500.00
SMCB,2015,0.02621,2,199488000000.00,17321565000000.00,8871708000000.00,1971,9239022000000.00,8449857000000.00,7624585500000.00
SMGR,2015,0.02904,3,4525441038000.00,38153118932000.00,10712320531000.00,1953,26948004471000.00,27440798401000.00,67619328000000.00
WTON,2015,0.44234,3,171784021770.00,4456097502805.00,2192672341189.00,1997,2652622140207.00,2263425161325.00,7190259945000.00
AMFG,2015,0.01893,3,341346000000.00,4270275000000.00,880052000000.00,1971,3665989000000.00,3390223000000.00,2842700000000.00
ARNA,2015,0.09166,3,71209943348.00,1430779475454.00,546050998398.00,1993,1291926384471.00,894728477056.00,3670715488000.00
IKAI,2015,0.12212,4,-108888289285.00,390042617783.00,321009676687.00,1991,141199773647.00,69032941096.00,90217751604.00
KIAS,2015,0.06919,5,-163719244899.00,2124390696519.00,310906059952.00,1968,800392438557.00,1813484636567.00,1343619000000.00
MLIA,2015,0.04165,4,-155911654000.00,7125800277000.00,6010681233000.00,1986,5713989433000.00,1115119044000.00,681345000000.00
TOTO,2015,0.01425,2,285236780659.00,2439540859205.00,947997940099.00,1977,2278673871193.00,1491542919106.00,71724000000000.00
ALKA,2015,0.00962,5,-1175538000.00,144628405000.00,82596104000.00,1972,749146492000.00,62032301000.00,74626763085.00
ALMI,2015,0.01762,5,-53613905767.00,2189037586057.00,1623926585475.00,1978,3333329653540.00,565111000582.00,121968000000.00
BAJA,2015,0.05549,3,-9349900882.00,948682681142.00,787054604088.00,1993,1251193634272.00,161627612352.00,151200000000.00
BTON,2015,0.06240,4,6323778025.00,183116245288.00,34011648533.00,1995,67679530150.00,149104596755.00,78300000000.00
GDST,2015,0.06361,5,-55212703852.00,1183934183257.00,379524183280.00,1989,913792626540.00,804409999977.00,483800000000.00
INAI,2015,0.00965,2,28615673167.00,1330259296537.00,1090438393880.00,1971,1384675922166.00,239820902657.00,128304000000.00
ISSP,2015,0.00000,2,158999000000.00,5448447000000.00,2894972000000.00,1971,3583541000000.00,2553475000000.00,1350966502580.00
JKSW,2015,0.03233,5,-23096657780.00,265280458589.00,705813376884.00,1974,143408228411.00,-440532918295.00,10200000000.00
JPRS,2015,0.05048,5,-21989704979.00,363265042157.00,30806011707.00,1973,143326451256.00,332459030450.00,90000000000.00
LION,2015,0.03102,3,46018637487.00,639330150373.00,184730654202.00,1972,389251192409.00,454599496171.00,546016800000.00
LMSH,2015,0.04358,3,1944443395.00,133782751041.00,21341373897.00,1982,174598965938.00,112441377144.00,55200000000.00
PICO,2015,0.00058,3,14975406018.00,605788310444.00,358697326131.00,1983,699310599565.00,247090984313.00,72752000000.00
BUDI,2015,0.00579,2,21072000000.00,3265953000000.00,2160702000000.00,1979,2378805000000.00,1105251000000.00,283436833806.00
DPNS,2015,0.12483,5,9859176172.00,274483110371.00,33187031327.00,1982,118475319120.00,241296079044.00,128147291424.00
EKAD,2015,0.01118,3,47040256456.00,389691595500.00,97730178889.00,1981,531537606573.00,291961416611.00,279510000000.00
ETWA,2015,0.08844,2,-224231055302.00,1332731163136.00,1256957157713.00,1992,395798115446.00,75774005423.00,75527166000.00
INCI,2015,0.01435,2,16960660023.00,169546066314.00,15494757317.00,1981,136668408270.00,154051308997.00,55215844580.00
SRSN,2015,0.00555,1,15504788000.00,574073314000.00,233993478000.00,1982,531573325000.00,340079836000.00,301000000000.00
AKKU,2015,0.07562,1,-1351411009.00,7648193813.00,5056759968.00,2001,5285277438.00,2591433846.00,75900000000.00
